Retailer,Retailer_ID,Invoice Date,Region,State,City,Product,Price_per,Quantity,Profit,Sales_Method
Foot Locker,1185732,01/01/2020,Northeast,California,Los Angeles,Women's Apparel,60,1118,70955.76,Online
Foot Locker,1185732,01/02/2020,Northeast,New York,New York,Men's Apparel,60,1293,70146.05,In-store
Foot Locker,1185732,01/03/2020,Northeast,California,Los Angeles,Women's Street Footwear,55,1008,52407.12,In-store
Foot Locker,1185732,01/04/2020,Northeast,New York,New York,Women's Street Footwear,55,1185,68373.32,In-store
Foot Locker,1185732,01/05/2020,Northeast,California,Los Angeles,Men's Athletics,60,1190,72827.59,Outlet
Foot Locker,1185732,01/06/2020,Northeast,Illinois,Chicago,Women's Athletics,50,1175,54159.06,Outlet
Foot Locker,1185732,01/07/2020,Northeast,New York,New York,Men's Athletics,60,1004,66252.35,Outlet
Foot Locker,1185732,01/08/2020,Northeast,Texas,Houston,Women's Apparel,40,1283,47470.74,Online
Foot Locker,1185732,01/09/2020,Northeast,Texas,Houston,Women's Street Footwear,50,1216,56236.6,Outlet
Foot Locker,1185732,01/10/2020,Northeast,New York,New York,Women's Apparel,60,1133,69939.39,Online
Foot Locker,1185732,01/11/2020,Northeast,Illinois,Chicago,Men's Athletics,50,1076,54437.65,Online
Foot Locker,1185732,01/12/2020,Northeast,California,Los Angeles,Men's Street Footwear,40,1234,48039.64,In-store
Foot Locker,1185732,01/13/2020,Northeast,Illinois,Chicago,Men's Apparel,45,1128,46056.78,Online
Foot Locker,1185732,01/14/2020,Northeast,New York,New York,Women's Street Footwear,45,930,39057.63,Online
Foot Locker,1185732,01/15/2020,Northeast,New York,New York,Men's Athletics,55,1178,64354.54,Outlet
Foot Locker,1185732,01/16/2020,Northeast,Texas,Houston,Women's Athletics,45,921,38026.18,In-store
Foot Locker,1185732,01/17/2020,Northeast,Texas,Houston,Women's Street Footwear,50,841,44958.24,Outlet
Foot Locker,1185732,01/18/2020,Northeast,Texas,Houston,Women's Street Footwear,40,1128,47139.44,Outlet
Foot Locker,1185732,01/19/2020,Northeast,California,Los Angeles,Women's Athletics,40,842,34154.05,In-store
Foot Locker,1185732,01/20/2020,Northeast,California,Los Angeles,Women's Street Footwear,40,1169,47258.29,Outlet
Foot Locker,1185732,01/21/2020,Northeast,New York,New York,Men's Apparel,50,835,44755.27,Online
